X,Y,district,monument_id,ste_name,period,category,subcategory,type
230185.0002,6730983,Nousiainen,1000030847,Tasanen 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
263209.9999,6697514,Sauvo,1000030843,Laurila 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
251036.0002,6722101,Lieto,1000030805,Kukkarkoski 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233273,6730306,Nousiainen,1000030849,Pappila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
231197.0002,6723334,Masku,1000030844,Kankaisten pelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
234399.0001,6730351,Nousiainen,1000030848,Pitula,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
356801.0002,6767285,Hattula,1000030987,Myllyoja 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
406130.0002,6858840,Jämsä,1000026961,Niemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
406990,6803160,Padasjoki,1000027017,Parkinmäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
412286.0001,6779258,Asikkala,1000037572,Viitaila 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
601239.9999,6790290,Imatra,1000031018,Kohola,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
264117.9999,6993806,Isokyrö,1000031076,Ollila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
227490.0002,6723245,Masku,1000031011,Kukkulinna 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233086.9999,6730527,Nousiainen,1000031088,Häävelä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
226787.0001,6738756,Mynämäki,1000031113,Kerttula,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
226809.0001,6738211,Mynämäki,1000031110,Kallunen,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
399131,6766020,Hollola,1000031121,Peltola,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
230599.0001,6727993,Nousiainen,1000031010,Kirvelä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
233862.9998,6729745,Nousiainen,1000031084,Finni-Pietilä 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
226880.0002,6738542,Mynämäki,1000031111,Heimola,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
226629,6738708,Mynämäki,1000031112,Raiko,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
230137.0001,6730697,Nousiainen,1000031012,Tasanen 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
229896,6728357,Nousiainen,1000031181,Sukkinen 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232545.0002,6730985,Nousiainen,1000031182,Pääskysmäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
430234.9998,6813632,Sysmä,1000031072,Nahkiaissaari,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
