objecttype,easting,northing,seals,fromdate,todate
BUCKLE,"620000","139000","0","1250","1400"
BUCKLE,"620000","145000","0","1250","1450"
BUCKLE,"620000","145000","0","1250","1450"
BUCKLE,"621000","146000","0","1250","1450"
BUCKLE,"621000","153000","0","1250","1500"
BUCKLE,"621000","153000","0","1250","1400"
BUCKLE,"621000","158000","0","1250","1500"
BUCKLE,"625000","147000","0","1250","1400"
BUCKLE,"625000","147000","0","1250","1400"
BUCKLE,"625000","153000","0","1250","1500"
BUCKLE,"625000","161000","0","1250","1400"
BUCKLE,"625000","161000","0","1250","1450"
BUCKLE,"625000","167000","0","1250","1400"
BUCKLE,"625000","167000","0","1250","1400"
BUCKLE,"625000","167000","0","1250","1400"
BUCKLE,"626000","150000","0","1250","1650"
BUCKLE,"626000","153000","0","1250","1720"
BUCKLE,"626000","166000","0","1250","1650"
BUCKLE,"626000","166000","0","1250","1400"
BUCKLE,"627000","147000","0","1250","1400"
BUCKLE,"628000","157000","0","1250","1500"
BUCKLE,"628000","158000","0","1250","1500"
BUCKLE,"630000","145000","0","1250","1350"
BUCKLE,"630000","148000","0","1250","1500"
BUCKLE,"630000","148000","0","1250","1500"
BUCKLE,"631000","149000","0","1250","1450"
BUCKLE,"631000","149000","0","1250","1400"
BUCKLE,"631000","150000","0","1250","1400"
BUCKLE,"631000","158000","0","1250","1400"
BUCKLE,"631000","158000","0","1250","1400"
BUCKLE,"632000","154000","0","1250","1400"
BUCKLE,"632000","154000","0","1250","1500"
BUCKLE,"632000","154000","0","1250","1400"
BUCKLE,"632000","154000","0","1250","1400"
BUCKLE,"632000","154000","0","1250","1400"
BUCKLE,"633000","144000","0","1250","1500"
BUCKLE,"634000","145000","0","1250","1550"
BUCKLE,"634000","150000","0","1250","1350"
BUCKLE,"634000","151000","0","1250","1650"
BUCKLE,"634000","151000","0","1250","1400"
BUCKLE,"635000","150000","0","1250","1500"
BUCKLE,"635000","169000","0","1250","1350"
BUCKLE,"636000","147000","0","1250","1500"
BUCKLE,"572000","163000","0","1270","1400"
BUCKLE,"623000","159000","0","1270","1350"
BUCKLE,"553000","167000","0","1275","1400"
BUCKLE,"635000","151000","0","1275","1350"
BUCKLE,"554000","171000","0","1300","1500"
BUCKLE,"568000","172000","0","1300","1400"
BUCKLE,"583000","150000","0","1300","1400"
BUCKLE,"583000","156000","0","1300","1400"
BUCKLE,"588000","163000","0","1300","1400"
BUCKLE,"593000","146000","0","1300","1500"
BUCKLE,"594000","145000","0","1300","1400"
BUCKLE,"594000","154000","0","1300","1400"
BUCKLE,"597000","140000","0","1300","1400"
BUCKLE,"599000","126000","0","1300","1400"
BUCKLE,"603000","125000","0","1300","1400"
BUCKLE,"603000","125000","0","1300","1500"
BUCKLE,"603000","125000","0","1300","1500"
BUCKLE,"603000","125000","0","1300","1400"
BUCKLE,"603000","125000","0","1300","1400"
BUCKLE,"603000","129000","0","1300","1700"
BUCKLE,"603000","129000","0","1300","1450"
BUCKLE,"604000","125000","0","1300","1500"
